COMM       PID  SYSCALL_ID ARGS[0]              ARGS[1]              ARGS[2]              ARGS[3]              ARGS[4]              ARGS[5]             
b'bash'    420992 0          b''                  b''                  b''                  b''                  b''                  b'@\xc1\xf1\xd5\xf7U'
b'bash'    420992 270        b''                  b'\x01'              b''                  b''                  b''                  b'@\xc1\xf1\xd5\xf7U'
b'bash'    420992 0          b''                  b''                  b''                  b''                  b''                  b'@\xc1\xf1\xd5\xf7U'
b'bash'    420992 270        b''                  b'\x01'              b''                  b''                  b''                  b'@\xc1\xf1\xd5\xf7U'
b'bash'    420992 0          b''                  b''                  b''                  b''                  b''                  b'@\xc1\xf1\xd5\xf7U'
b'bash'    420992 1          b''                  b'perfrahul@rahul-ubuntu: ~/bcc-python\x07\x1b[01;32mrahul' b''                  b''                  b''                  b''                 
b'bash'    420992 270        b''                  b'\x01'              b''                  b''                  b''                  b'@\xc1\xf1\xd5\xf7U'
b'bash'    420992 0          b''                  b''                  b''                  b''                  b''                  b'@\xc1\xf1\xd5\xf7U'
b'bash'    420992 270        b''                  b'\x01'              b''                  b''                  b''                  b'@\xc1\xf1\xd5\xf7U'
b'bash'    420992 0          b''                  b''                  b''                  b''                  b''                  b'@\xc1\xf1\xd5\xf7U'
b'bash'    420992 270        b''                  b'\x01'              b''                  b''                  b''                  b'@\xc1\xf1\xd5\xf7U'
b'bash'    420992 0          b''                  b''                  b''                  b''                  b''                  b'@\xc1\xf1\xd5\xf7U'
b'bash'    420992 1          b''                  b'\x08\x08\x08\x08strace df -hubuntu: ~/bcc-python\x07\x1b[01;32mrahul' b''                  b''                  b''                  b''                 
b'bash'    420992 270        b''                  b'\x01'              b''                  b''                  b''                  b'@\xc1\xf1\xd5\xf7U'
b'bash'    420992 0          b''                  b''                  b''                  b''                  b''                  b'@\xc1\xf1\xd5\xf7U'
b'bash'    420992 270        b''                  b'\x01'              b''                  b''                  b''                  b'@\xc1\xf1\xd5\xf7U'
b'bash'    420992 0          b''                  b''                  b''                  b''                  b''                  b'@\xc1\xf1\xd5\xf7U'
b'bash'    420992 270        b''                  b'\x01'              b''                  b''                  b''                  b'@\xc1\xf1\xd5\xf7U'
b'bash'    420992 0          b''                  b''                  b''                  b''                  b''                  b'@\xc1\xf1\xd5\xf7U'
b'bash'    420992 1          b''                  b'\x08\x08\x08\x08\x08\x08\x08\x08\x08\x08\x08\x08\x1b[7P\x1b[C\x1b[C\x1b[C\x1b[C\x1b[Cython\x07\x1b[01;32mrahul' b''                  b''                  b''                  b'\x1b[C'           
b'bash'    420992 270        b''                  b'\x01'              b''                  b''                  b''                  b'@\xc1\xf1\xd5\xf7U'
b'bash'    420992 0          b''                  b''                  b''                  b''                  b''                  b'@\xc1\xf1\xd5\xf7U'
